id_Participantes;;id_Acidente;;pessoas;;mortos;;feridos_leves;;feridos_graves;;ilesos;;ignorados;;feridos;;veiculos;;;
278;,;278;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;
279;,;279;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
280;,;280;,;6;,;0;,;1;,;0;,;4;,;1;,;1;,;3;");";;
281;,;281;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;
282;,;282;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
283;,;283;,;3;,;0;,;2;,;0;,;1;,;0;,;2;,;2;");";;
284;,;284;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
285;,;285;,;3;,;0;,;0;,;0;,;3;,;0;,;0;,;3;");";;
286;,;286;,;3;,;0;,;2;,;0;,;1;,;0;,;2;,;2;");";;
287;,;287;,;2;,;1;,;0;,;0;,;1;,;0;,;0;,;2;");";;
288;,;288;,;3;,;0;,;0;,;1;,;1;,;1;,;1;,;2;");";;
289;,;289;,;2;,;0;,;1;,;1;,;0;,;0;,;2;,;1;");";;
290;,;290;,;4;,;0;,;1;,;1;,;2;,;0;,;2;,;4;");";;
291;,;291;,;4;,;1;,;0;,;1;,;2;,;0;,;1;,;2;");";;
292;,;292;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;2;");";;
293;,;293;,;3;,;0;,;0;,;1;,;2;,;0;,;1;,;2;");";;
294;,;294;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
295;,;295;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
296;,;296;,;3;,;0;,;2;,;0;,;1;,;0;,;2;,;2;");";;
297;,;297;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;2;");";;
298;,;298;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;3;");";;
299;,;299;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
300;,;300;,;10;,;0;,;5;,;0;,;5;,;0;,;5;,;5;");";;
301;,;301;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
302;,;302;,;3;,;0;,;1;,;0;,;1;,;1;,;1;,;2;");";;
303;,;303;,;5;,;0;,;1;,;0;,;2;,;2;,;1;,;4;");";;
304;,;304;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
