idTipo;;idAcidente;;atropelamento;;capotagem;;choqueObjFixo;;colisao;;colisaoLat;;naoInf;;outro;;tombamento;
299;,;299;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
300;,;300;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
301;,;301;,;0;,;1;,;0;,;0;,;0;,;0;,;0;,;0;");"
302;,;302;,;2;,;0;,;0;,;4;,;3;,;1;,;1;,;0;");"
303;,;303;,;6;,;1;,;0;,;4;,;1;,;0;,;2;,;1;");"
304;,;304;,;0;,;0;,;0;,;1;,;1;,;0;,;0;,;1;");"
305;,;305;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");"
306;,;306;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
307;,;307;,;3;,;1;,;2;,;9;,;3;,;0;,;0;,;0;");"
308;,;308;,;0;,;2;,;1;,;2;,;0;,;0;,;0;,;0;");"
309;,;309;,;1;,;0;,;0;,;3;,;0;,;0;,;0;,;0;");"
310;,;310;,;13;,;1;,;1;,;9;,;1;,;2;,;1;,;0;");"
311;,;311;,;1;,;0;,;0;,;0;,;0;,;0;,;0;,;0;");"
312;,;312;,;0;,;0;,;0;,;4;,;0;,;0;,;0;,;0;");"
313;,;313;,;1;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
314;,;314;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;0;");"
315;,;315;,;1;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
316;,;316;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;");"
317;,;317;,;0;,;0;,;0;,;0;,;0;,;1;,;0;,;0;");"
318;,;318;,;0;,;1;,;0;,;0;,;0;,;0;,;0;,;1;");"
319;,;319;,;0;,;0;,;1;,;1;,;1;,;0;,;0;,;0;");"
320;,;320;,;1;,;0;,;0;,;2;,;1;,;0;,;0;,;0;");"
