idPart;;idAcidente;;Carona Moto;;Carroceiro;;Ciclista;;Condutor;;Motociclista;;Não Inf.;;Outros;;Passageiro;;Pedestre;
226;,;226;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
227;,;227;,;0;,;0;,;1;,;5;,;3;,;0;,;0;,;1;,;3;");"
228;,;228;,;0;,;0;,;0;,;2;,;0;,;2;,;0;,;6;,;1;");"
229;,;229;,;1;,;0;,;1;,;1;,;5;,;0;,;0;,;0;,;3;");"
230;,;230;,;0;,;0;,;0;,;3;,;0;,;0;,;0;,;1;,;0;");"
231;,;231;,;0;,;0;,;1;,;3;,;2;,;0;,;0;,;2;,;1;");"
232;,;232;,;0;,;0;,;0;,;4;,;1;,;0;,;0;,;3;,;1;");"
233;,;233;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
234;,;234;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
235;,;235;,;0;,;0;,;1;,;1;,;3;,;0;,;0;,;0;,;1;");"
236;,;236;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
237;,;237;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
238;,;238;,;0;,;0;,;0;,;5;,;1;,;0;,;0;,;1;,;0;");"
239;,;239;,;0;,;0;,;1;,;4;,;1;,;0;,;0;,;1;,;1;");"
240;,;240;,;0;,;0;,;1;,;0;,;1;,;0;,;0;,;2;,;0;");"
241;,;241;,;0;,;0;,;1;,;0;,;1;,;0;,;0;,;0;,;2;");"
242;,;242;,;0;,;0;,;0;,;2;,;1;,;0;,;0;,;0;,;0;");"
243;,;243;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;2;,;0;");"
244;,;244;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;,;0;");"
245;,;245;,;1;,;0;,;0;,;2;,;2;,;0;,;0;,;2;,;1;");"
246;,;246;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;1;,;0;");"
247;,;247;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
248;,;248;,;0;,;0;,;3;,;3;,;10;,;0;,;0;,;2;,;6;");"
249;,;249;,;0;,;0;,;0;,;1;,;2;,;0;,;0;,;1;,;0;");"
250;,;250;,;0;,;0;,;0;,;1;,;0;,;1;,;0;,;0;,;1;");"
251;,;251;,;0;,;0;,;0;,;1;,;1;,;0;,;0;,;0;,;0;");"
252;,;252;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
253;,;253;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
254;,;254;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;2;,;0;");"
255;,;255;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;1;,;0;");"
256;,;256;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
257;,;257;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;2;,;1;");"
258;,;258;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;,;5;");"
