id_Participantes;;id_Acidente;;pessoas;;mortos;;feridos_leves;;feridos_graves;;ilesos;;ignorados;;feridos;;veiculos;;;;;
271;,;271;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
272;,;272;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;;;
273;,;273;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
274;,;274;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;1;");";;;;
275;,;275;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
276;,;276;,;2;,;1;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
277;,;277;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
278;,;278;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
279;,;279;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
280;,;280;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
281;,;281;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
282;,;282;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
283;,;283;,;3;,;0;,;0;,;1;,;2;,;0;,;1;,;3;");";;;;
284;,;284;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;;;
285;,;285;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
286;,;286;,;4;,;0;,;0;,;2;,;1;,;1;,;2;,;2;");";;;;
287;,;287;,;2;,;1;,;0;,;0;,;1;,;0;,;0;,;2;");";;;;
288;,;288;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
289;,;289;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
290;,;290;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;;;
291;,;291;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
292;,;292;,;6;,;0;,;0;,;0;,;6;,;0;,;0;,;6;");";;;;
293;,;293;,;3;,;1;,;0;,;0;,;2;,;0;,;0;,;3;");";;;;
294;,;294;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;;;
295;,;295;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
